1855.6,196.6,2152.2,196.6
308.2,206.6,506.6,206.6
308.2,366.4,506.6,366.4
506.6,446.6,913.4,446.6
1447.8,446.6,2152.2,446.6
308.2,526.0,506.6,526.0
308.2,685.4,506.6,685.4
1116.0,689.6,1246.2,689.6
1855.6,696.6,2152.2,696.6
333.0,870.2,1855.6,870.2
1855.6,946.6,2152.2,946.6
828.4,966.6,958.4,966.6
1116.0,966.6,1246.2,966.6
1412.8,966.6,1542.8,966.6
2152.2,131.6,2152.2,261.6
308.2,168.6,308.2,244.4
1855.6,196.6,1855.6,946.6
506.6,206.6,506.6,870.2
308.2,328.6,308.2,404.4
913.4,381.4,913.4,511.8
1448.0,381.4,1448.0,511.6
2152.2,381.6,2152.2,511.6
308.2,488.0,308.2,563.8
2152.2,631.6,2152.2,761.6
308.2,647.6,308.2,723.4
1181.2,689.6,1181.2,966.6
893.4,870.0,893.4,966.6
1478.6,870.0,1478.6,966.6
2152.2,881.6,2152.2,1011.6
